country,iso3,capital_lat,capital_lng,region,continent
Afghanistan,AFG,34.526011,69.177684,Southern and Central Asia,Asia
Albania,ALB,41.326873,19.818791,Southern Europe,Europe
Algeria,DZA,36.775361,3.060188,Northern Africa,Africa
American Samoa,ASM,-14.275479,-170.70483,Polynesia,Oceania
Angola,AGO,-8.82727,13.243951,Central Africa,Africa
Anguilla,AIA,41.559572,-98.980548,Caribbean,North America
Antigua and Barbuda,ATG,47.561701,-52.715149,Caribbean,North America
Argentina,ARG,-34.607568,-58.437089,South America,South America
Armenia,ARM,40.177612,44.512585,Middle East,Asia
Aruba,ABW,12.526874,-70.035684,Caribbean,North America
Australia,AUS,-35.297591,149.101268,Australia and New Zealand,Oceania
Austria,AUT,48.208354,16.372504,Western Europe,Europe
Azerbaijan,AZE,40.375443,49.832675,Middle East,Asia
Bahrain,BHR,26.223504,50.582244,Middle East,Asia
Bangladesh,BGD,23.759357,90.378814,Southern and Central Asia,Asia
Belarus,BLR,53.902334,27.561879,Eastern Europe,Europe
Belgium,BEL,50.846557,4.351697,Western Europe,Europe
Belize,BLZ,17.250199,-88.770018,Central America,North America
Benin,BEN,6.499072,2.625336,Western Africa,Africa
Bermuda,BMU,43.25608,-79.872858,North America,North America
Bhutan,BTN,27.472762,89.629548,Southern and Central Asia,Asia
Bolivia,BOL,-19.047725,-65.259431,South America,South America
Bosnia and Herzegovina,BIH,43.851977,18.386687,Southern Europe,Europe
Botswana,BWA,-24.658136,25.908847,Southern Africa,Africa
Brazil,BRA,-10.333333,-53.2,South America,South America
Brunei,BRN,4.889545,114.941757,Southeast Asia,Asia
Bulgaria,BGR,-15.25384,48.256216,Eastern Europe,Europe
Burkina Faso,BFA,12.368187,-1.527094,Western Africa,Africa
Burundi,BDI,-3.363812,29.367503,Eastern Africa,Africa
Cambodia,KHM,11.568271,104.922443,Southeast Asia,Asia
Cameroon,CMR,3.868987,11.521334,Central Africa,Africa
Canada,CAN,45.421106,-75.690308,North America,North America
Cape Verde,CPV,14.916017,-23.509613,Western Africa,Africa
Cayman Islands,CYM,5.414568,100.329804,Caribbean,North America
Central African Republic,CAF,4.390715,18.550913,Central Africa,Africa
Chad,TCD,12.119154,15.050276,Central Africa,Africa
Chile,CHL,9.869479,-83.798075,South America,South America
China,CHN,39.906217,116.391276,Eastern Asia,Asia
Christmas Island,CXR,-10.426665,105.668672,Australia and New Zealand,Oceania
Colombia,COL,4.59808,-74.076044,South America,South America
Comoros,COM,-11.693126,43.254304,Eastern Africa,Africa
Cook Islands,COK,-21.207474,-159.770814,Polynesia,Oceania
Costa Rica,CRI,9.932543,-84.079578,Central America,North America
Croatia,HRV,45.813177,15.977048,Southern Europe,Europe
Cuba,CUB,23.135305,-82.358963,Caribbean,North America
Cyprus,CYP,35.17393,33.364726,Middle East,Asia
Czech Republic,CZE,50.087465,14.421254,Eastern Europe,Europe
Democratic Republic of the Congo,COD,-4.321706,15.312597,,
Denmark,DNK,55.686724,12.570072,Nordic Countries,Europe
Djibouti,DJI,11.814597,42.845306,Eastern Africa,Africa
Dominica,DMA,48.771037,-95.769788,Caribbean,North America
Dominican Republic,DOM,18.480197,-69.942111,Caribbean,North America
East Timor,TLS,28.651718,77.221939,Southeast Asia,Asia
Ecuador,ECU,-0.220164,-78.512327,South America,South America
Egypt,EGY,30.048819,31.243666,Northern Africa,Africa
El Salvador,SLV,13.698994,-89.191425,Central America,North America
Equatorial Guinea,GNQ,3.752828,8.780061,Central Africa,Africa
Estonia,EST,59.437216,24.745369,Baltic Countries,Europe
Ethiopia,ETH,9.010793,38.761252,Eastern Africa,Africa
Falkland Islands,FLK,-51.695058,-57.849169,South America,South America
Fiji,FJI,-18.141588,178.442166,Melanesia,Oceania
Finland,FIN,60.16741,24.942577,Nordic Countries,Europe
France,FRA,48.856697,2.351462,Western Europe,Europe
French Guiana,GUF,4.937114,-52.325831,South America,South America
French Polynesia,PYF,-17.537384,-149.565996,Polynesia,Oceania
French Southern and Antarctic Lands,ATF,-49.353677,70.243567,Antarctica,Antarctica
Gabon,GAB,0.390002,9.454001,Central Africa,Africa
Georgia,GEO,41.693459,44.80145,Middle East,Asia
Germany,DEU,52.517036,13.38886,Western Europe,Europe
Ghana,GHA,5.560014,-0.205744,Western Africa,Africa
Gibraltar,GIB,36.140807,-5.35413,,
Greece,GRC,37.983941,23.728305,Southern Europe,Europe
Greenland,GRL,64.175029,-51.735539,North America,North America
Grenada,GRD,48.658138,6.928099,Caribbean,North America
Guam,GUM,13.472745,144.752018,Micronesia,Oceania
Guatemala,GTM,14.622233,-90.518519,Central America,North America
Guernsey,GGY,49.456814,-2.538998,,
Guinea,GIN,9.51706,-13.699843,Western Africa,Africa
Guinea-Bissau,GNB,11.861324,-15.583055,Western Africa,Africa
Guyana,GUY,6.802577,-58.162861,South America,South America
Haiti,HTI,18.547327,-72.339593,Caribbean,North America
Honduras,HND,14.105686,-87.204676,Central America,North America
Hong Kong,HKG,-36.59861,144.678005,Eastern Asia,Asia
Hungary,HUN,47.498382,19.040471,Eastern Europe,Europe
