review_id,avg_rating,review,review_date
REVR1,3,Neutral or Dissatisfied,05/05/21
REVR2,4,Satisfied,06/15/21
REVR3,4,Satisfied,08/27/21
REVR4,4,Satisfied,09/08/21
REVR5,5,Satisfied,10/12/21
REVR6,4,Satisfied,11/03/21
REVR7,4,Satisfied,12/22/21
REVR8,5,Satisfied,12/22/21
REVR9,2,Neutral or Dissatisfied,12/31/21
REVR10,4,Satisfied,01/01/22
REVR11,3,Satisfied,01/09/22
REVR12,3,Satisfied,02/18/22
REVR13,1,Neutral or Dissatisfied,02/14//22
REVR14,4,Satisfied,03/07/22
REVR15,4,Satisfied,04/25/22
REVR16,4,Satisfied,05/13/22
REVR17,4,Satisfied,06/30/22
REVR18,5,Satisfied,08/08/22
REVR19,4,Satisfied,09/21/22
REVR20,4,Satisfied,10/19/22
REVR21,3,Neutral or Dissatisfied,11/24//22
REVR22,5,Satisfied,11/27/22
REVR23,3,Satisfied,12/14/22
REVR24,3,Neutral or Dissatisfied,01/31/23
REVR25,4,Satisfied,02/09/23
REVR26,4,Satisfied,03/18/23
REVR27,4,Satisfied,04/02/23
REVR28,5,Satisfied,05/29/23
REVR29,5,Satisfied,06/11/23
REVR30,4,Satisfied,07/24/23
REVR31,3,Neutral or Dissatisfied,08/17/23
REVR32,5,Satisfied,09/04/23
REVR33,2,Satisfied,10/28/23
REVR34,4,Satisfied,11/09/23
REVR35,4,Satisfied,12/19/23
REVR36,4,Satisfied,01/22/24
REVR37,5,Satisfied,02/06/24
REVR38,4,Satisfied,03/15/24
REVR39,4,Satisfied,03/18/74
